ResNet18_accuracy,VGG16_accuracy,inception_v3_accuracy
0.7487852283770651,0.6465773809523809,0.6069226797862002
0.7574025145772595,0.6915315233236152,0.6548226433430515
0.7605229591836735,0.6848654640427599,0.6512694363459669
0.759315779883382,0.7199875485908649,0.6337615403304179
0.7503872084548104,0.7105958454810496,0.6650646865889213
0.7503644314868805,0.7280809645286687,0.6624225583090378
0.754160592808552,0.715143646744412,0.6464786807580175
0.7556107264334305,0.7138985058309039,0.6521273688046647
0.757478437803693,0.7174972667638484,0.6664920432458699
0.7634687803692906,0.7279898566569485,0.6633488216715258
